001．爱带（戴） 002．白晰（皙）

003．爆乱（暴） 004．报筹（酬）

005．暴炸（爆） 006．卑却（怯）

007．辩析（辨） 008．恶耗（噩）

009．材华（才） 010．喝采（彩）

011．翱游（遨） 012．娘两（俩）

013．更叠（迭） 014．恰商（洽）

015．起迄（讫） 016．沾辱（玷）

017．中裁（仲） 018．雕彻（砌）

019．陷井（阱） 020．劈谣（辟）

021．明片（名） 022．梦餍（魇）

023．缈视（藐） 024．募然（蓦）

025．蓦捐（募） 026．通辑（缉）

027．杂踏（沓） 028．奕棋（弈）

029．疏峻（浚） 030．吉详（祥）

031．肖象（像） 032．开消（销）

033．撕杀（厮） 034．膺品（赝）

035．贮立（伫） 036．绉纹（皱）

037．躁热（燥） 038．肿涨（胀）

039．羁靡（縻） 040．描模（摹）

041．遨翔（翱） 042．振撼（震）

043．呕气（怄） 044．亵赎（渎）

045．恢谐（诙） 046．渲泄（宣）

047．宣染（渲） 048．延申（伸）

049．奢糜（靡） 050．毗临（邻）

051．骠悍（剽） 052．永决（诀）

053．欧打（殴）054．座落（坐）

055．幅射（辐） 056．拥带（戴）

057．煤碳（炭） 058．编篡（纂）

059．按磨（摩） 060．爆躁（暴）

061．蜇居（蛰） 062．下功夫（工）

063.显象管（像）064．爆发户（暴）

065.造事者（肇）066．纹身（文）

067．座标系（坐） 068．照像机（相）

069．暖哄哄（烘） 070.明信片（名）

071．坐右铭（座） 072．天然汽（气）

073．煤汽机（气） 074．引伸义（申）

075．雄纠纠（赳） 076．冷不妨（防）

077．裨官野史（稗） 078．百练成钢（炼）

079．火山暴发（爆） 080．和霭可亲（蔼）

081．爱不失手（释） 082．爱乌及屋（屋乌）

083．安份守己（分）084．按居乐业（安）

085．暗然泪下（黯） 086．黯无天日（暗）

087．敖敖待哺（嗷） 088．飞扬拔扈（跋）

089．绝不罢休（决） 090．白壁微瑕（璧）

091．英雄倍出（辈） 092．半途而费（废）

093．哀声叹气（唉） 094．山洪爆发（暴）

095．武装爆动（暴) 096．五色斑澜（斓）

097．百步串杨（穿） 098．百尺杆头（竿）

