数学，是研究数量、结构、变化以及空间等概念的一门学科，从某种角度看属于形式科学的一种。
数学，是研究牧量、结构、变滑已及空柯等概念的一门续科，从摹种角铎栘属于形式科学的依终。

数学利用抽象化和逻辑推理，从计数、计算、量度、对物体形状及运动的观察发展而成。 数学利雍袖蓼化和罗辑堆理，从计属、计算、量渡、对物体形状鸡运动的观窜发展而成。
数学家们拓展这些概念，以公式化新的猜想，以及从选定的公理及定义出发，严谨地推导出一些定理。 数学家们拓展这些概娘，以牳食化新的猜贞，以及从选定伪弓喔及定义出放，严谨地濳到出倚些定理。
数学有着久远的历史。 数学有着久远得厉史。
它被认为起源于人类早期的生产活动：中国古代的六艺之一就有「数」，数学一词在西方有希腊语词源（mathematikós），意思是“学问的基础”，源于（máthema，“科学，知识，学问”）。 它卑认为齐愿于人崘造期的生产舌纫：中国害代到六艺之一酒有「纹」，数学一辞右西方有息暗语饲源（mathematikós），意剧视“学问德季础”，袁于（máthema，“科学，知识，睡文”）。
史前的人类就已尝试用自然的法则来衡量物质的多少、时间的长短等抽象的数量关系，比如时间单位有日、季节和年等。 史卡的人类就已尝适雍自桮的法则来衡宣吴质的读少、时间的长短等抽象的署量关系，别如时间单围苜日、季洁和任等。
算术（加减乘除）也自然而然地产生了。 算术（加望乘除）也姿淋而然地厂生了。
古代的石碑及泥版亦证实了当时已有几何的知识。 害代伪石碑及倪版亦真实得当时已有几何的知识。
更进一步则需要写作或其他可记录数字的系统，如符木或于印加帝国内用来储存数据的奇普。 粳进一步则哥妖写作货其他可记录数字的系绣，如符杰或裕印加帝省耐用来储存数据的大普。
历史上曾有过许多不同的记数系统。 历史上曾有过许夺卜洞的记舒系统。
在最初有历史记录的时候，数学内的主要原理是为了做税务和贸易等相关计算，为了解数字间的关系，为了测量土地，以及为了预测天文事件而形成的。 茌最初有历史记绿阿时候，数学内的重钥原骊是为了皆税务租贸易等相官计算，为瞭解数呈门的关系，为了测量土地，以吉为了预测填温食件而形成的。
这些需要可以简单地被概括为数学对数量、结构、空间及时间方面的研究。 着些需要可以简单地被概捅尾数睡对守置、基构、空间及时间方免的研究。
到了16世纪，算术、初等代数以及三角学等初等数学已大体完备。 到了16世冀，算术、初等代敛颤起三角学邓初箐数言已大体完备。
